".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard","488363.257941323","239236.783079406","389334.103053078","246306.90952135","335272.527958481","248709.258645767","422160.470610961","225469.432141162","265484.303520602","311332.657428868","234905.70657932","183230.335958756","214992.122438793","189440.642791156","259770.524287423","474202.815439825","496357.88498952","240733.804079903","318761.055431543","238312.589486716","391221.440945437","472945.834369103","237359.329271066","251313.326298309","406211.710374961","257621.372793397","242825.830868724","525068.153008434","184451.90178227","203645.307385389"
"rsq","standard","0.0181121503015961","0.0513340166829164","0.0113808289372527","0.0219391256948751","0.131786368726522","0.0940571976979097","0.0417313140945198","0.0629427350333804","0.153964704101697","0.00261173035564409","0.0230820259459291","0.0410282814054622","0.191027307566671","0.0523552950167402","0.0146885546550432","0.000792556580647376","0.000911913672377753","0.0275354928057632","0.0598756691823765","9.27392865226708e-05","0.0614750731729892","0.00162109190703454","0.0550256606534093","0.0357118267273559","0.0132382509293243","0.00161248622420777","0.0324186040719357","0.00421378017949339","0.0512125746994573","0.0129347961694525"
"mae","standard","210097.601068566","142563.053803586","178277.212936693","147333.709286039","167037.990759051","144825.948939923","171541.8637849","139877.90719191","124220.898245067","161283.093755578","144450.249696779","118176.501303327","138013.015709902","124462.569511306","157313.787957977","205916.250237767","184798.26722597","148875.641120717","158779.486228857","141571.804073822","169218.696871809","208039.215391733","154694.269815749","156144.487182403","170717.517213598","151346.272431847","144689.267901401","210461.694517874","125758.528938588","131461.26489267"
"Bias","Standard","-51953.3055033835","-59243.0621390334","-67100.0899607346","-73709.017531057","-80376.6970366014","-45850.9742590253","-10470.7941276763","-18230.3435987557","-57519.9510512538","-55159.0760684224","-36315.9747885138","-24781.0739007817","-54418.5643340787","-50685.9183980242","-61137.2784002605","-21972.3489605368","3564.2992506842","-14051.251417793","-50327.4836938576","-38749.0290361073","23480.0556214621","-17433.2966497576","-56310.0723154751","-81425.9975956246","-65772.8766197182","-17776.6722083788","-60276.8088221398","-35606.7178554124","-31005.6916708052","-52628.4363968681"
"Varianza","Muestral","101504344480.577","-39329817694.6221","-126705229817.647","-41883871205.2494","-111363941918.272","-54984648225.5751","121823169224.495","-40580944278.9888","-70529541752.5844","-77226495453.073","-33797863437.8901","-19780926905.9742","-42616496874.2731","-24255247022.8459","-48326436701.9353","89333633889.9154","142738976199.554","-35832256730.4651","-94802492287.6557","-33000176191.4018","118439504691.674","88781714332.9581","-32920513093.1066","-46482106801.51","-148520934474.314","-33370350553.2738","-44085811652.6194","51284550963.047","-16592022589.4952","-25758679901.8476"
