".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard","115014.055705228","110920.700621186","114645.995055078","107047.543629598","110845.305094323","116556.680137908","107937.714606409","113251.537581597","109636.903936751","105495.312445203","114308.054567596","113997.434403597","117977.619945293","114007.594455577","108871.803898218","107514.763751055","108026.505455763","108316.45640442","108962.35662576","112615.608427192","114471.825395483","121695.898230532","107214.921058244","110908.907615968","113094.973860196","104793.195592144","116574.94758217","102455.514905809","119465.460516706","107857.688337944"
"rsq","standard","0.0620634027170406","0.0726716906871048","0.0824721510202726","0.123555230335054","0.0807430694759356","0.0713520323410856","0.09772542057241","0.0736762165715112","0.109994553792509","0.102237381558176","0.0682998707083768","0.0688754831062612","0.0655561702155517","0.0913226557064032","0.111843838113922","0.0729522623744135","0.060633406480483","0.0920779322959889","0.0676925781681481","0.075689266528436","0.0912517956839996","0.078713448390607","0.0958708278219168","0.0853813019886354","0.102393832384951","0.0923353736684538","0.0713598141636435","0.116327536442988","0.0881230111697334","0.105822791984354"
"mae","standard","67693.5284873755","68544.7257003049","70154.3123565444","66483.572190111","67870.5261526823","68207.168013887","67660.1516365748","68761.351827556","68586.4116306181","65963.6847300894","68956.3599718252","69776.8822341239","71254.1586159612","68068.4786095436","66448.7735459178","66651.3841850084","66207.0239190245","66177.6869437973","66136.944721244","65772.7040991112","67237.465673652","72092.6963446364","65996.7195448826","65674.7868057997","70505.2287800199","67040.1982806013","68916.3689930027","64982.844042676","69931.07045929","66395.4706284636"
"Bias","Standard","-13114.1431536689","-11459.9724054688","-17211.6770325429","-10835.4227811237","-8279.76724203861","-11389.1468100434","-13835.1892915599","-11085.6497005532","-13599.9265796458","-11623.2415335077","-13374.0460343337","-11423.8090598639","-10389.1670241602","-13974.6849653561","-14843.2531011989","-8402.36301852659","-9481.78253581638","-8937.84299206241","-4780.9692293981","-4764.28133547885","-10979.0420456326","-18766.8846846029","-9477.0728610908","-9103.71318021975","-12801.0318023068","-12886.8571944407","-11609.4761779667","-12233.7482592524","-14356.5388488377","-12302.2195829872"
"Varianza","Muestral","-3878978115.24806","-5854127966.92257","-7379110869.74809","-6270571768.11251","-3114891768.45001","-4729066514.85981","-5621689599.24957","-3892797305.01634","-5437775368.79137","-5284802415.55145","-5081200213.10196","-4860508792.11707","-4731435419.60992","-6353098971.22958","-6029697345.48416","-4109804858.23903","-3992596278.33923","-4232398590.97807","-3875838033.02667","-2221784198.27548","-4693361908.08531","-7073689405.11199","-4047562682.81279","-3609168414.39732","-6484594444.17134","-5038399879.27518","-4615837930.00144","-5047091824.92498","-8056353132.63898","-4966809299.25406"
