"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOTPSHJNSOCDEIJAH00794201",1,3,15
"TQSMNOQVWHKOKRCDEGKDB00789329",1,1,7
"TQRMNORUXHKNKOCDEGKDB00789279",1,2,11
"TQRMNORUXHKNKOCDEGKDB00789279",1,3,9
"TQRMNORTXHKNKNCDEFMDB00787984",2,1,3
"TQRMNORXQHKOKOCDEFMDB00787953",1,1,6
"TQRMNOSRXHLOSNCDEIJAH00719399",1,1,6
"TQRMNOSRXHLOSNCDEIJAH00719399",1,2,6
"TQRMNOSRQHMOLOCDEFOCD00711723",1,2,8
"TQRMNORSVHJOLPCDEFOCD00794202",1,1,2
"TQRMNORSVHJOLPCDEFOCD00794202",1,2,3
"TQRMNOSTXHLKQSCDEIJAH00719629",2,4,13
"TQRMNOQXTHLOKMCDEFIAH00714488",1,1,7
"TQRMNOQXTHLOKMCDEFIAH00714488",1,3,8
"TQRMNOQWVHJMKQCDEFIAH00794208",1,1,4
"TQRMNOQWVHJMKQCDEFIAH00794208",1,2,5
"TQRMNORXQHKOKOCDEFMDB00787953",1,2,5
"TQSMNOSQUHKOKMCDEGKDB00789196",1,1,4
"TQSMNOSQUHKOKMCDEGKDB00789196",1,6,6
"TQRMNOSRRHKOKMCDEGKDB00789217",1,2,8
"TQRMNOSSRHKOKOCDEFOCD00788337",1,1,5
"TQRMNOPQYHLMKSCDEGLDF00794203",1,2,12
"TQRMNORVRHKKKNCDEOHCH00792899",2,1,1
"TQRMNOPRYHMMKNCDEOHCH00712751",1,1,3
"TQRMNOPRVHMMKOCDEOHCH00712752",1,1,8
"TQRMNORYYHJMKNCDEOHCH00794204",1,1,3
"TQRMNORYYHJMKNCDEOHCH00794204",1,2,6
"TQRMNOTVXHMOKQCDEOHCH00713420",1,2,7
"TQRMNOXQRHKOKMCDEFOCD00788346",1,3,3
"TQRMNOXQRHKOKMCDEFOCD00788346",1,4,4
"TQRMNOPPXHKOKMCDEFPCH00788449",1,2,4
"TQRMNOPPXHKOKMCDEFPCH00788449",1,3,9
"TQRMNOPRTHLNKMCDEGKDB00716292",1,2,10
"TQRMNOQQVHJOKOCDEGKDB00794211",1,1,8
"TQSMNOSVTHLLKOCDEGLDF00716411",1,1,4
"TQRMNOQXQHJMKOCDEOHCH00794205",1,1,0
"TQRMNOQXQHJMKOCDEOHCH00794205",1,2,4
"TQRMNOPPXHMNKSCDEOHCH00713421",1,1,2
"TQRMNOPPXHMNKSCDEOHCH00713421",1,2,4
"TQRMNOPSSHKNKQCDEOHCH00792873",1,2,6
"TQRMNOPSSHKNKQCDEOHCH00792873",1,3,9
"TQRMNOQWPHKNKQCDEOHCH00792947",1,1,1
"TQRMNOQWPHKNKQCDEOHCH00792947",1,2,3
"TQRMNORSUHKKKNCDEFPCH00788451",1,1,4
"TQRMNORSUHKKKNCDEFPCH00788451",1,2,4
"TQRMNOSYTHKMKQCDEGKDB00789167",1,1,7
"TQRMNOPPRHMMKPCDEGKDB00712781",1,2,8
"TQSMNOQWYHMMKTCDEGLDF00712465",1,1,3
"TQRMNORYYHKNKQCDEGLDF00789490",1,2,1
"TQRMNPQTTHKMKMCDEHLEH00790370",1,1,4
"TQRMNORPYHKMKNCDEHLEH00790393",1,3,3
"TQRMNOSWPHKKKMCDEGGFB00788700",1,1,3
"TQRMNOSWPHKKKMCDEGGFB00788700",1,2,2
"TQRMNOQUUHMKKMCDEGGFB00713246",1,1,4
"TQRMNOSPUHJKNOCDEIIAD00794206",1,1,9
"TQRMNOSPUHJKNOCDEIIAD00794206",1,2,8
"TQRMNOSVRHLLNUCDEIIAD00718409",1,1,8
"TQRMNOQXPHKKTUCDEIJAH00792370",1,1,10
"TQRMNOSTXHLKQSCDEIJAH00719629",2,1,6
"TQRMNOPTRHMMLMCDEOJAH00794092",1,2,5
"TQRMNORYRHKMLLCDEOJAH00793101",1,1,4
"TQRMNORYRHKMLLCDEOJAH00793101",1,2,6
"TQRMNOQPQHKNLMCDEOJAH00793074",1,1,8
"TQRMNOQPQHKNLMCDEOJAH00793074",1,2,7
"TQRMNORVTHLMLLCDEOJAH00720343",1,1,3
"TQRMNOPUPHKOLNCDEOJAH00793001",1,1,4
"TQRMNOPUPHKOLNCDEOJAH00793001",1,3,5
"TQRMNOQYQHKOLNCDEOJAH00794093",1,1,3
"TQRMNOQYQHKOLNCDEOJAH00794093",1,2,8
"TQRMNOQYQHKOLNCDEOJAH00794093",1,3,6
"TQSMNOQVPHMMMTCDEIJAH00791558",1,2,8
"TQRMNOPTVHMMMUCDEIJAH00792123",1,1,8
"TQRMNOPTVHMMMUCDEIJAH00792123",1,4,8
"TQRMNORPSHMMMUCDEIJAH00713200",1,5,9
"TQRMNORPSHMMMUCDEIJAH00713200",1,6,11
"TQRMNOPTTHMMNLCDEIJAH00718939",1,1,7
"TQRMNOTTQHKMLNCDEGNFJ00789524",1,1,4
"TQRMNOPQRHKLKMCDEOHCH00792887",1,3,12
"TQRMNOPXTHMOLLCDEGNFJ00789581",1,1,2
"TQRMNOQRQHLLKRCDEHNHB00779262",1,1,3
"TQRMNOQRQHLLKRCDEHNHB00779262",1,2,7
"TQRMNOQYRHJNMOCDEFKID00794153",1,1,6
"TQRMNOTTVHLOKMCDEIHJF00718193",1,1,5
"TQRMNOTTVHLOKMCDEIHJF00718193",1,2,7
"TQRMNOTTVHLOKMCDEIHJF00718193",1,3,2
"TQRMNORVXHJOKMCDEIHJF00794154",1,1,4
