".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard","480005.85688466","165938.923268288","213323.080551924","220383.082151653","159996.637590452","217460.162762525","442786.555295669","145511.760042428","212408.165589941","156298.390238702","159513.823394079","145805.29633872","202800.097913216","174969.83938427","179410.677340705","428383.159417458","462604.26047818","150434.82254774","148920.562473161","156550.485814418","425955.490968911","409447.7249027","217699.024059249","176840.467258979","151060.035690917","164764.237296686","283424.220134341","449655.890425845","193067.892387013","180112.041932169"
"rsq","standard","0.00572550354273547","0.000262624577844027","0.0160525896822404","0.0305705291384517","0.0758161295592751","0.0332896424361853","0.000294244686614941","0.0187842716435908","0.00352186751324415","0.0848372733491703","0.0735129332414021","0.0230589166855272","0.0101539144259655","0.0378226197707456","0.0643673041607525","0.000297801751168933","0.000201649131850942","0.0618000473155747","0.026614628910912","0.0110980122653992","0.0133702131189741","0.00904665090862086","0.0213332319002643","0.0477317870661218","0.02527172955162","0.0448668226262379","0.0334566250675141","0.00261017902423821","0.0477526526253665","0.00331556168449136"
"mae","standard","200641.948520688","122275.774881247","137845.519334668","134715.182410472","111474.553128129","143487.6111207","166581.330204557","108050.971080078","127853.924406492","109850.257556763","113950.81815302","106687.352928674","139257.618678674","110876.30335973","116038.450648852","169714.863165768","145011.116820834","112572.43158552","112484.257299133","110390.13336385","175902.899960351","143952.679910528","148198.194422874","115316.842081036","108226.532234094","119727.857734042","150589.316938895","167657.871406711","117697.153058543","125906.361267086"
"Bias","Standard","-20455.1881514479","-10156.9599806995","-22500.0767522997","-58056.2740218897","-30101.2853967281","-53837.0282617895","-4332.92648740615","15040.1107239682","-40685.9866147018","-12742.5064625285","-8954.49319633319","-16676.5259129115","-59435.7267993326","-49493.6194089164","-28112.9618569922","19100.9856402701","80242.777274251","13579.302838216","-14835.4193734591","-13445.0975471723","-1152.96625342645","46244.7236654592","-41949.9133162737","-45515.5475472296","912.869441754492","-3740.04410662616","-74136.8998038574","33380.8708999796","-25390.2306403446","-41759.2783999544"
"Varianza","Muestral","125158102143.416","-188069047.187206","-19500387840.0682","-32205022217.8436","-10592630113.6017","-30800599008.1824","137778024856.709","-1980041675.95597","-27204037841.2427","-12844557614.5723","-6359242155.65627","-4261231794.87251","-18946776688.8982","-17152424525.5686","-18700987755.7616","134794860197.95","189682537284.694","1885840928.61299","-4466162402.75911","-4149035986.65835","106418076189.438","146611282549.654","-18779462399.5159","-17153624644.8513","-3438214964.73532","-3589857247.52127","-65463619757.8662","150840126458.585","-20431447895.6158","-15407318467.978"
