".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard","141238.834012042","121974.557908298","136147.002466678","127390.356470139","133759.156574833","130947.648623803","124402.993475734","138936.735351571","124837.151711149","130475.17573589","141090.591325453","131013.669130923","137405.037668759","131192.661223616","132574.457495157","132902.856990612","129480.726398568","129734.78765658","122829.35910424","154365.095062859","129044.771889469","121868.628344673","124769.828661186","125009.952680412","132063.844942649","133223.766461135","140160.812976282","120696.70647138","123819.571221291","123114.519162305"
"rsq","standard","0.0481014296728235","0.0831036453163994","0.0741165777761206","0.0957677141326489","0.0444142393291045","0.0379710756642867","0.0677154917076177","0.0869537774092554","0.0679717891627745","0.0926643205498928","0.0724184851961859","0.0710219502307821","0.0681558952825831","0.0729291642102883","0.0567782220548091","0.0604154462293147","0.0489819937558107","0.0678558935522594","0.0777801701804973","0.0598432167800852","0.0574818843164982","0.0588661052553514","0.0618021829780898","0.0597490558724589","0.0613185068410517","0.0786049529756851","0.0432314442515782","0.0717945793663731","0.0556395890032682","0.0840009739859192"
"mae","standard","76230.026927425","73582.7514003055","78779.2520461102","74855.6922303348","77128.9627781635","77006.6985363785","73506.3516838312","77253.152093714","75445.7355371872","76451.3527926904","78690.6891848735","76219.2232918815","79241.3494667522","78615.704627604","74350.2813036883","77842.1628350614","76182.1889293154","75385.6039423016","73440.0857483491","83081.1957101076","76190.3684289142","74864.3531563559","74683.9119399363","72850.0768365075","78347.5359670807","78697.6210131407","79788.0388579262","75344.2873301848","75099.9048080014","72071.7480749279"
"Bias","Standard","-19823.187139931","-15883.8521872932","-24751.62402936","-18095.6675439422","-14481.8661077463","-12646.0618592913","-15888.4510406012","-20143.1611906203","-16097.0083915675","-19659.3217809692","-22704.7193040434","-19748.0558068797","-18399.908059487","-22582.178018216","-18307.1859694988","-21116.8666585077","-19225.9936424516","-16420.6402273318","-13370.1783953076","-22944.5096568094","-15374.6465096165","-13674.7951345422","-14896.3707397975","-12833.7789271665","-19923.8967490776","-24848.5867982635","-20432.4009886283","-17863.7051893194","-13119.0260227548","-13974.0314195014"
"Varianza","Muestral","-10957454939.4512","-9212856439.64607","-13121279266.0235","-11096650070.6725","-8148903624.13945","-7370533000.62066","-9192265502.17999","-12142267437.0432","-8268906391.14922","-11960716434.6779","-13090012153.3172","-9719120786.84995","-10611881955.6019","-10419965872.3544","-10840169526.1531","-10529404004.0987","-9235430539.32111","-9387621569.07345","-8050566112.26642","-14448587004.8297","-7514550294.60472","-6489946913.1815","-7672153328.64881","-6611298082.75216","-10290865139.5868","-12262206580.9369","-10151416245.8279","-8505614022.36874","-8087631064.28109","-8602992179.85445"
