".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8"
"rmse","standard","105881.009821606","102684.27389678","92792.8394706415","111876.385204802","89470.5749524406","79491.2590773106","81159.9349077308","109094.212232127"
"rsq","standard","0.278832776451657","0.30169878535355","0.430849195425307","0.18537958004774","0.329284409612104","0.301760124150824","0.259127346126859","0.119868114285287"
"mae","standard","72358.6364707834","69661.135515831","66277.5889564725","76120.6198196765","66066.7022412331","57946.31737503","58546.5093025625","74273.1546456272"
"Bias","Standard","8101.56344434939","-6475.97558658414","796.480548705861","-2202.08706280437","1657.88153387989","2270.58945667788","10840.7757373378","7489.17945982863"
"Varianza","Muestral","-11350082334.8147","-11840141992.3154","-8581219814.70947","-10670539188.5322","-6505474374.94643","-5118208566.59535","-5875285924.30665","-6115025328.32039"
