".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4.x","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",397567.425841502,78829.6826271007,113015.253461632,"397567.425841502","78829.6826271007","113015.253461632","91697.1585869287","97199.1540123879","95831.79862222","109454.051488772","407942.948891377","99582.0546414959","121464.704817212","93985.0805163403","102809.544981959","81048.8079484322","104896.389890722","113902.921478915","94406.9180387055","97794.4738576412","78663.9144349936","92509.0133842507","97159.844626961","387737.751599133","94067.3716153351","111627.891512516","113234.741268154","97637.0183737736","89028.0627827154","108021.413811653"
"rsq","standard",0.118961459777516,0.3884931456911,0.147427166798931,"0.118961459777516","0.3884931456911","0.147427166798931","0.375492019518472","0.295467860686018","0.335002019378181","0.148755688245811","0.0628486301071132","0.282786771661404","0.149828013272873","0.354801821769541","0.128237187214992","0.359372237355834","0.242668640152913","0.138060392216271","0.188047749532469","0.141033632673938","0.450126528289396","0.2366298118754","0.297710870483964","0.120687864030898","0.176178392407806","0.301878133326849","0.231714280001427","0.306365309623899","0.242318976584546","0.254775513656911"
"mae","standard",109913.295930852,59492.7875823581,79312.85855649,"109913.295930852","59492.7875823581","79312.85855649","65461.6413182907","67431.3688204392","68491.8421469974","74718.9691088916","115717.97488694","70687.459724289","84497.1335926515","69743.1607914986","70736.2512523874","58674.658438652","71541.2581323908","73028.5250743587","65257.9028307399","68334.1451906567","64319.7636274075","68264.5972368815","71307.4039840499","90295.4668390472","67899.3496511778","76283.3309880745","80302.9114429829","70587.0969985688","61199.1739986068","74319.1575062454"
"Bias","Standard",-63962.6151809214,11932.8267569462,10639.6335181905,"-63962.6151809214","11932.8267569462","10639.6335181905","-8795.69018011859","-6117.76798830865","-7834.56895634899","-11952.0012907608","-63054.3403815548","2749.84278555645","6137.97931042415","10280.9532329435","4873.40439039285","9235.66550249764","7985.69918183626","-24482.9616374495","22441.8505121134","11172.0295782903","18991.6322753577","8573.86393188352","13350.3685809897","-33202.0521549566","11124.2288562084","1589.40180463902","-7677.38315727612","4530.08731380912","3208.20489119344","-5097.46729673023"
"Varianza","Muestral",-163807276888.073,-5309867170.43474,-5318473901.37638,"-163807276888.073","-5309867170.43474","-5318473901.37638","-10384589705.2158","-9902089797.68582","-9894423267.09413","-11168496970.9054","-169461822065.88","-10653658889.9293","-10563882420.6398","-9083184428.71349","-3467207493.11845","-6160817996.07619","-11973814310.8789","-11889836106.3322","-5304648751.84217","-5699051187.45693","-7250359419.31747","-5260852871.76657","-7900277869.66777","-159689068739.869","-5778770713.62602","-12971226060.4815","-11018369885.9366","-9790508568.92397","-1412326112.90883","-9675475271.07342"
