"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOTPSHJNSOCDEIJAH00794201",1,3,14
"TQSMNOQVWHKOKRCDEGKDB00789329",1,1,5
"TQRMNORUXHKNKOCDEGKDB00789279",1,2,12
"TQRMNORUXHKNKOCDEGKDB00789279",1,3,7
"TQRMNORTXHKNKNCDEFMDB00787984",2,1,3
"TQRMNORXQHKOKOCDEFMDB00787953",1,1,2
"TQRMNOSRXHLOSNCDEIJAH00719399",1,1,4
"TQRMNOSRXHLOSNCDEIJAH00719399",1,2,5
"TQRMNOSRQHMOLOCDEFOCD00711723",1,2,4
"TQRMNORSVHJOLPCDEFOCD00794202",1,1,3
"TQRMNORSVHJOLPCDEFOCD00794202",1,2,5
"TQRMNOSTXHLKQSCDEIJAH00719629",2,4,14
"TQRMNOQXTHLOKMCDEFIAH00714488",1,1,10
"TQRMNOQXTHLOKMCDEFIAH00714488",1,3,10
"TQRMNOQWVHJMKQCDEFIAH00794208",1,1,4
"TQRMNOQWVHJMKQCDEFIAH00794208",1,2,5
"TQRMNORXQHKOKOCDEFMDB00787953",1,2,6
"TQSMNOSQUHKOKMCDEGKDB00789196",1,1,5
"TQSMNOSQUHKOKMCDEGKDB00789196",1,6,8
"TQRMNOSRRHKOKMCDEGKDB00789217",1,2,17
"TQRMNOSSRHKOKOCDEFOCD00788337",1,1,7
"TQRMNOPQYHLMKSCDEGLDF00794203",1,2,10
"TQRMNORVRHKKKNCDEOHCH00792899",2,1,4
"TQRMNOPRYHMMKNCDEOHCH00712751",1,1,2
"TQRMNOPRVHMMKOCDEOHCH00712752",1,1,3
"TQRMNORYYHJMKNCDEOHCH00794204",1,1,1
"TQRMNORYYHJMKNCDEOHCH00794204",1,2,4
"TQRMNOTVXHMOKQCDEOHCH00713420",1,2,3
"TQRMNOXQRHKOKMCDEFOCD00788346",1,3,7
"TQRMNOXQRHKOKMCDEFOCD00788346",1,4,7
"TQRMNOPPXHKOKMCDEFPCH00788449",1,2,6
"TQRMNOPPXHKOKMCDEFPCH00788449",1,3,7
"TQRMNOPRTHLNKMCDEGKDB00716292",1,2,4
"TQRMNOQQVHJOKOCDEGKDB00794211",1,1,8
"TQSMNOSVTHLLKOCDEGLDF00716411",1,1,3
"TQRMNOQXQHJMKOCDEOHCH00794205",1,1,4
"TQRMNOQXQHJMKOCDEOHCH00794205",1,2,1
"TQRMNOPPXHMNKSCDEOHCH00713421",1,1,4
"TQRMNOPPXHMNKSCDEOHCH00713421",1,2,5
"TQRMNOPSSHKNKQCDEOHCH00792873",1,2,3
"TQRMNOPSSHKNKQCDEOHCH00792873",1,3,10
"TQRMNOQWPHKNKQCDEOHCH00792947",1,1,3
"TQRMNOQWPHKNKQCDEOHCH00792947",1,2,4
"TQRMNORSUHKKKNCDEFPCH00788451",1,1,6
"TQRMNORSUHKKKNCDEFPCH00788451",1,2,4
"TQRMNOSYTHKMKQCDEGKDB00789167",1,1,5
"TQRMNOPPRHMMKPCDEGKDB00712781",1,2,7
"TQSMNOQWYHMMKTCDEGLDF00712465",1,1,2
"TQRMNORYYHKNKQCDEGLDF00789490",1,2,4
"TQRMNPQTTHKMKMCDEHLEH00790370",1,1,1
"TQRMNORPYHKMKNCDEHLEH00790393",1,3,5
"TQRMNOSWPHKKKMCDEGGFB00788700",1,1,2
"TQRMNOSWPHKKKMCDEGGFB00788700",1,2,10
"TQRMNOQUUHMKKMCDEGGFB00713246",1,1,9
"TQRMNOSPUHJKNOCDEIIAD00794206",1,1,11
"TQRMNOSPUHJKNOCDEIIAD00794206",1,2,12
"TQRMNOSVRHLLNUCDEIIAD00718409",1,1,9
"TQRMNOQXPHKKTUCDEIJAH00792370",1,1,10
"TQRMNOSTXHLKQSCDEIJAH00719629",2,1,8
"TQRMNOPTRHMMLMCDEOJAH00794092",1,2,3
"TQRMNORYRHKMLLCDEOJAH00793101",1,1,3
"TQRMNORYRHKMLLCDEOJAH00793101",1,2,5
"TQRMNOQPQHKNLMCDEOJAH00793074",1,1,0
"TQRMNOQPQHKNLMCDEOJAH00793074",1,2,6
"TQRMNORVTHLMLLCDEOJAH00720343",1,1,6
"TQRMNOPUPHKOLNCDEOJAH00793001",1,1,5
"TQRMNOPUPHKOLNCDEOJAH00793001",1,3,5
"TQRMNOQYQHKOLNCDEOJAH00794093",1,1,2
"TQRMNOQYQHKOLNCDEOJAH00794093",1,2,4
"TQRMNOQYQHKOLNCDEOJAH00794093",1,3,1
"TQSMNOQVPHMMMTCDEIJAH00791558",1,2,10
"TQRMNOPTVHMMMUCDEIJAH00792123",1,1,11
"TQRMNOPTVHMMMUCDEIJAH00792123",1,4,15
"TQRMNORPSHMMMUCDEIJAH00713200",1,5,9
"TQRMNORPSHMMMUCDEIJAH00713200",1,6,15
"TQRMNOPTTHMMNLCDEIJAH00718939",1,1,7
"TQRMNOTTQHKMLNCDEGNFJ00789524",1,1,3
"TQRMNOPQRHKLKMCDEOHCH00792887",1,3,7
"TQRMNOPXTHMOLLCDEGNFJ00789581",1,1,1
"TQRMNOQRQHLLKRCDEHNHB00779262",1,1,7
"TQRMNOQRQHLLKRCDEHNHB00779262",1,2,5
"TQRMNOQYRHJNMOCDEFKID00794153",1,1,1
"TQRMNOTTVHLOKMCDEIHJF00718193",1,1,4
"TQRMNOTTVHLOKMCDEIHJF00718193",1,2,9
"TQRMNOTTVHLOKMCDEIHJF00718193",1,3,5
"TQRMNORVXHJOKMCDEIHJF00794154",1,1,3
"TQRMNOPYQHLOKTCDEHNHB00717586",1,2,8
"TQRMNOQYRHKOLNCDEOJAH00794094",1,1,2
"TQRMNORSRHJMKNCDEFLID00794095",1,1,8
"TQRMNORSRHJMKNCDEFLID00794095",1,2,9
"TQRMNOSUTHMMQLCDEIJAH00718767",1,1,10
"TQSMNOPURHMOQRCDEIJAH00792293",1,2,8
"TQRMNOPURHMOQRCDEIJAH00792354",1,1,5
"TQRMNOPURHMOQRCDEIJAH00792354",1,2,12
"TQRMNOPVSHLOQPCDEIJAH00780558",1,1,4
"TQRMNOQRSHMKNNCDEIJAH00713150",1,1,12
"TQRMNOQRSHMKNNCDEIJAH00713150",1,2,8
"TQSMNOQQVHLMNQCDEIJAH00794115",1,1,10
"TQRMNOTTUHLMNTCDEIJAH00780529",1,2,10
"TQRMNOQPSHLOKTCDEFLID00714979",1,1,6
"TQRMNOPPTHJOKRCDEFLID00794135",1,2,9
"TQRMNOPPTHJOKRCDEFLID00794135",1,3,8
"TQRMNOPPTHJOKRCDEFLID00794135",1,4,10
"TQRMNOQTQHJOKRCDEFLID00794136",1,1,2
"TQRMNOQTQHJOKRCDEFLID00794136",1,2,6
"TQRMNOSQYHJMKTCDEHNHB00794155",1,1,2
"TQRMNOSQYHJMKTCDEHNHB00794155",1,2,10
"TQRMNOSQYHJMKTCDEHNHB00794155",1,3,6
"TQRMNORSSHJMMNCDEFKID00794158",1,1,8
"TQRMNOQQSHJNMOCDEFKID00794159",1,1,3
"TQRMNOTTPHJMQTCDEIJAH00794096",1,2,7
"TQRMNOTTPHJMQTCDEIJAH00794096",1,3,15
"TQRMNOPXQHLOQRCDEIJAH00718794",1,1,10
"TQRMNOPXQHLOQRCDEIJAH00718794",1,2,9
"TQRMNOPTPHMMQTCDEIJAH00709188",1,8,5
"TQRMNOSVQHKOLQCDEIKAH00794116",1,1,3
"TQRMNOSVQHKOLQCDEIKAH00794116",1,2,7
"TQRMNOQVTHJMLPCDEIKAH00794117",1,2,14
"TQRMNORVSHMLKRCDEFLID00714981",1,2,16
"TQRMNOPQPHJLLLCDEFLID00794137",1,1,6
"TQRMNOPQPHJLLLCDEFLID00794137",1,2,7
"TQRMNOTRUHJLLLCDEFLID00794138",1,1,6
"TQRMNORSXHKOLPCDEHIBB00790061",1,1,1
"TQRMNORSXHKOLPCDEHIBB00790061",1,2,3
"TQRMNOTRSHJNMOCDEFKID00794160",1,1,3
"TQRMNOTRSHJNMOCDEFKID00794160",1,3,8
"TQRMNOPWRHJMMPCDEFKID00794161",1,1,4
"TQRMNOPPXHLMKUCDEIHJF00779696",1,1,4
"TQRMNOPWYHJOKTCDEIHJF00794163",1,2,6
"TQRMNOSRSHJOKTCDEIHJF00794164",1,1,6
"TQRMNOPWRHMNQUCDEIJAH00718797",1,1,9
"TQRMNOUPTHKKQTCDEIJAH00791905",1,1,13
"TQRMNOQTWHMLRTCDEIJAH00709209",1,1,4
"TQRMNOQVTHJMLPCDEIKAH00794117",1,4,5
"TQRMNOPWSHLOLPCDEHIBB00717024",1,1,1
"TQRMNOPWSHLOLPCDEHIBB00717024",1,2,2
"TQRMNORPRHMNLQCDEHIBB00712814",1,3,4
"TQRMNOUVYHJOLQCDEHIBB00794141",1,1,0
"TQRMNOQWQHKOKUCDEIHJF00791186",1,1,3
"TQRMNOQWQHKOKUCDEIHJF00791186",1,2,6
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,1,1
"TQRMNOPWVHJLLNCDEGPDJ00794165",1,2,3
"TQRMNOQUYHLMLNCDEGPDJ00716924",1,1,1
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,1,1
"TQRMNOSRRHKOLPCDEGPDJ00794166",1,2,1
"TQRMNOSRUHKOLPCDEGPDJ00789817",1,1,2
"TQRMNORSVHMOKMCDEGOIH00711268",1,1,3
"TQRMNOPYPHLOKNCDEGOIH00716734",1,1,3
"TQRMNOPYPHLOKNCDEGOIH00716734",1,3,1
"TQRMNOPWYHJMKOCDEGOIH00794099",1,1,0
"TQRMNOPXVHJMKOCDEGOIH00794100",1,2,6
"TQRMNORXXHLLLUCDEIKAH00719834",1,1,10
"TQRMNOSRVHJNLTCDEIKAH00794120",1,1,5
"TQRMNOQVQHJKLMCDEHJGH00794121",1,1,0
"TQRMNOQRVHKMKSCDEIOAH00792786",1,2,4
"TQRMNOPYTHLOKNCDEGOIH00716673",1,1,2
"TQSMNOPUYHKNKMCDEGJBF00789081",1,1,4
"TQRMNOSYXHJOKMCDEGJBF00794142",1,1,8
"TQRMNOSYXHJOKMCDEGJBF00794142",1,2,6
"TQRMNOSYXHJOKMCDEGJBF00794142",1,3,6
"TQRMNOSYXHJOKMCDEGJBF00794142",1,4,10
"TQRMNOPUUHJNKNCDEGJBF00794143",1,1,5
"TQRMNOPUUHJNKNCDEGJBF00794143",1,2,8
"TQRMNORWRHKKKOCDEHNHB00790592",1,1,7
"TQRMNORTTHKMKNCDEHNHB00790735",1,1,0
"TQRMNOSSUHLMLSCDEFLID00715114",1,1,7
"TQRMNOPQXHJOKQCDEGOIH00794168",1,1,2
"TQRMNOPQXHJOKQCDEGOIH00794168",1,2,4
"TQRMNOPQXHJOKQCDEGOIH00794168",1,3,3
"TQRMNOPQXHJOKQCDEGOIH00794168",1,5,3
"TQRMNOPQXHJOKQCDEGOIH00794168",1,6,2
"TQRMNOPXVHJMKOCDEGOIH00794100",1,3,1
"TQRMNOQTXHMOKUCDEIHJF00714416",2,1,6
"TQRMNOQSYHLMKTCDEHMHF00717478",1,1,6
"TQRMNOQSYHLMKTCDEHMHF00717478",1,2,2
"TQRMNORUUHJMKSCDEGNFJ00794101",1,1,5
"TQRMNOQQRHMNLMCDEGNFJ00789556",1,1,3
"TQRMNOUPUHJLKTCDEHPJB00794103",1,1,0
"TQSMNOPQWHKMLSCDEGGFB00788659",1,1,1
"TQSMNOPQWHKMLSCDEGGFB00788659",1,2,4
"TQRMNOPQYHLOKPCDEGOIH00716730",1,1,0
"TQRMNOPQYHLOKPCDEGOIH00716730",1,2,3
"TQRMNOQUSHLOKMCDEHGHJ00716985",1,1,3
"TQRMNORPPHLNLOCDEFMDB00715250",1,1,5
"TQRMNORPPHLNLOCDEFMDB00715250",1,2,8
"TQSMNOQPXHKNKMCDEGKDB00789195",1,1,6
"TQSMNORYWHLOKUCDEGIBJ00715891",1,2,4
"TQRMNOQVWHKOKSCDEGIBJ00788819",1,1,1
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,1,5
"TQRMNOPYXHJOLLCDEGIBJ00794145",1,2,3
"TQRMNOQPQHJOLLCDEGIBJ00794146",1,1,2
"TQRMNOQXRHMKKSCDEGIBJ00715988",1,1,7
"TQRMNOQYSHMKKSCDEGOIH00713223",1,1,3
"TQRMNOSSWHKOKSCDEGKDB00789333",1,1,5
"TQRMNOSSWHKOKSCDEGKDB00789333",1,2,7
"TQRMNOPXPHJOKUCDEGKDB00794171",1,2,8
"TQRMNOQXXHJOKUCDEGKDB00794172",1,1,3
"TQRMNORRSHKMLTCDEGGFB00788562",1,1,5
"TQRMNOPRWHKKKOCDEGGFB00788566",1,1,2
"TQRMNOQTYHMMLQCDEHMHF00714190",2,1,2
"TQRMNOQQYHKNKPCDEGKDB00789350",1,1,6
"TQRMNORPWHMOKNCDEFLID00712777",1,2,13
"TQRMNORPWHMOKNCDEFLID00712777",1,4,12
"TQRMNORPWHMOKNCDEFLID00712777",1,5,7
"TQRMNORVWHJOKOCDEFLID00794122",1,3,8
"TQRMNOPVTHJOKPCDEFLID00794123",1,1,4
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,1,4
"TQRMNOPXSHJLLMCDEGIBJ00794147",1,2,2
"TQRMNOQRRHLMLOCDEGIBJ00794148",1,1,3
"TQRMNORWVHLMLOCDEGIBJ00715941",2,2,3
"TQRMNOQTYHKMLLCDEGIBJ00788838",1,2,7
"TQRMNOSQUHKLKTCDEFMDB00787926",1,1,6
"TQRMNOSQUHKLKTCDEFMDB00787926",1,2,8
"TQRMNOSPUHKMKNCDEFMDB00787914",1,1,2
"TQRMNOPSPHLMKTCDEGKDB00716302",1,1,5
"TQRMNORRYHLMKUCDEGKDB00716305",1,1,7
"TQRMNOPTQHJNKMCDEHGHJ00794104",1,1,1
"TQRMNOTUTHLLKOCDEHGHJ00716967",1,1,2
"TQRMNOSSYHJOKTCDEFMDB00794106",1,1,8
"TQRMNOSSPHJOLQCDEGJBF00794107",1,1,8
"TQRMNOSSPHJOLQCDEGJBF00794107",1,2,7
"TQRMNOPYRHKNKRCDEFLID00794124",1,1,8
"TQRMNOPYRHKNKRCDEFLID00794124",1,2,6
"TQRMNORWYHJMKSCDEFLID00794125",1,1,8
"TQRMNOPXUHJKKUCDEFLID00794126",1,1,9
"TQRMNOQPWHKLKTCDEFLID00794127",1,1,8
"TQRMNORYPHKOLLCDEHPJB00790787",1,1,3
"TQRMNORYPHKOLLCDEHPJB00790787",1,2,6
"TQRMNORYPHKOLLCDEHPJB00790787",1,3,2
"TQRMNOSPUHKMKNCDEFMDB00787914",1,2,13
"TQRMNOQTSHLNRMCDEIJAH00780203",2,1,3
"TQRMNORPUHKMQRCDEIJAH00792033",1,1,6
"TQRMNORXXHLMLLCDEGJBF00716274",1,1,6
"TQRMNOQYRHMMLPCDEGJBF00712680",1,4,15
"TQRMNORSRHLLLOCDEGJBF00794151",1,1,2
"TQRMNOPXTHMOLRCDEGJBF00713123",1,1,7
"TQRMNORVTHJKLNCDEGKDB00794174",1,1,5
"TQRMNORVTHJKLNCDEGKDB00794174",1,2,9
"TQRMNOPSUHKNKQCDEGKDB00789306",1,1,15
