"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOTPSHJNSOCDEIJAH00794201",1,3,10
"TQSMNOQVWHKOKRCDEGKDB00789329",1,1,7
"TQRMNORUXHKNKOCDEGKDB00789279",1,2,9
"TQRMNORUXHKNKOCDEGKDB00789279",1,3,3
"TQRMNORTXHKNKNCDEFMDB00787984",2,1,8
"TQRMNORXQHKOKOCDEFMDB00787953",1,1,7
"TQRMNOSRXHLOSNCDEIJAH00719399",1,1,12
"TQRMNOSRXHLOSNCDEIJAH00719399",1,2,16
"TQRMNOSRQHMOLOCDEFOCD00711723",1,2,8
"TQRMNORSVHJOLPCDEFOCD00794202",1,1,2
"TQRMNORSVHJOLPCDEFOCD00794202",1,2,5
"TQRMNOSTXHLKQSCDEIJAH00719629",2,4,6
"TQRMNOQXTHLOKMCDEFIAH00714488",1,1,9
"TQRMNOQXTHLOKMCDEFIAH00714488",1,3,8
"TQRMNOQWVHJMKQCDEFIAH00794208",1,1,6
"TQRMNOQWVHJMKQCDEFIAH00794208",1,2,9
"TQRMNORXQHKOKOCDEFMDB00787953",1,2,3
"TQSMNOSQUHKOKMCDEGKDB00789196",1,1,2
"TQSMNOSQUHKOKMCDEGKDB00789196",1,6,5
"TQRMNOSRRHKOKMCDEGKDB00789217",1,2,11
"TQRMNOSSRHKOKOCDEFOCD00788337",1,1,1
"TQRMNOPQYHLMKSCDEGLDF00794203",1,2,15
"TQRMNORVRHKKKNCDEOHCH00792899",2,1,2
"TQRMNOPRYHMMKNCDEOHCH00712751",1,1,6
"TQRMNOPRVHMMKOCDEOHCH00712752",1,1,7
"TQRMNORYYHJMKNCDEOHCH00794204",1,1,0
"TQRMNORYYHJMKNCDEOHCH00794204",1,2,6
"TQRMNOTVXHMOKQCDEOHCH00713420",1,2,5
"TQRMNOXQRHKOKMCDEFOCD00788346",1,3,9
"TQRMNOXQRHKOKMCDEFOCD00788346",1,4,7
"TQRMNOPPXHKOKMCDEFPCH00788449",1,2,7
"TQRMNOPPXHKOKMCDEFPCH00788449",1,3,6
"TQRMNOPRTHLNKMCDEGKDB00716292",1,2,7
"TQRMNOQQVHJOKOCDEGKDB00794211",1,1,6
"TQSMNOSVTHLLKOCDEGLDF00716411",1,1,1
"TQRMNOQXQHJMKOCDEOHCH00794205",1,1,1
"TQRMNOQXQHJMKOCDEOHCH00794205",1,2,2
"TQRMNOPPXHMNKSCDEOHCH00713421",1,1,3
"TQRMNOPPXHMNKSCDEOHCH00713421",1,2,4
"TQRMNOPSSHKNKQCDEOHCH00792873",1,2,2
"TQRMNOPSSHKNKQCDEOHCH00792873",1,3,11
"TQRMNOQWPHKNKQCDEOHCH00792947",1,1,2
"TQRMNOQWPHKNKQCDEOHCH00792947",1,2,5
"TQRMNORSUHKKKNCDEFPCH00788451",1,1,7
"TQRMNORSUHKKKNCDEFPCH00788451",1,2,5
"TQRMNOSYTHKMKQCDEGKDB00789167",1,1,10
"TQRMNOPPRHMMKPCDEGKDB00712781",1,2,8
"TQSMNOQWYHMMKTCDEGLDF00712465",1,1,2
"TQRMNORYYHKNKQCDEGLDF00789490",1,2,0
"TQRMNPQTTHKMKMCDEHLEH00790370",1,1,1
"TQRMNORPYHKMKNCDEHLEH00790393",1,3,6
