".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4.x","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",399630.321531662,83456.149452105,100800.956328876,"399630.321531662","83456.149452105","100800.956328876","94373.3670708723","91276.4463383365","97053.3621113643","102863.136342375","406759.352557561","96056.7569109449","120118.178666867","89985.0935871418","91030.1163679333","82761.8437119189","101721.910950135","114091.069099963","83871.526549638","85162.0954811328","76541.9202090591","89202.7202350903","95819.9722625757","390115.984799773","84196.1146497751","110561.520506926","118916.319821662","94029.0299364164","87601.6201295625","102726.031501024"
"rsq","standard",0.101661763993776,0.349177790634438,0.235965819915895,"0.101661763993776","0.349177790634438","0.235965819915895","0.323209786336617","0.419812530000152","0.321817463394127","0.279046778710732","0.100964474093798","0.334157936995745","0.150980964246967","0.402086656448266","0.18837749485077","0.336359728994103","0.291571720755905","0.148826251714053","0.292174736799988","0.280157725544399","0.467939596602019","0.271056436668082","0.314854956357101","0.100731094802271","0.310065312393434","0.315431062303293","0.17349063699433","0.356256570889189","0.268216250512878","0.326536667509782"
"mae","standard",108346.12951499,60414.5876331251,73593.3865080951,"108346.12951499","60414.5876331251","73593.3865080951","62886.1296995614","60964.1919995267","69238.253014265","70372.2267085352","114400.864241982","65788.2972958835","81377.0847601323","64885.1559525288","64539.1744359592","57540.4791014657","66391.1705940381","72349.032830611","59950.4874109527","60117.8443185247","60269.1403055011","65730.4569739061","67335.03775458","86367.2577897641","62675.8808757962","74905.2378109007","83500.0493515511","67599.5796793012","59213.194797843","72991.1531946582"
"Bias","Standard",-67044.2950783827,10005.3699151792,1820.31892011513,"-67044.2950783827","10005.3699151792","1820.31892011513","-11645.8761478341","-13935.0104752331","-11691.2228594613","-19913.0352928831","-70448.0529169394","-2645.77002513019","-2359.49350869785","1552.41689145214","-7104.13234637931","4236.53650884231","2229.76446818231","-28773.6457659806","12842.2434665968","2513.68050070779","8161.81489427583","2427.28863534321","10218.2162739335","-41279.2372102359","6571.00871811669","-3013.87673341025","-14518.9292321169","-814.753108745002","791.097047902531","-13400.648775544"
"Varianza","Muestral",-163975626789.999,-3554476303.52061,-6946887024.7454,"-163975626789.999","-3554476303.52061","-6946887024.7454","-10193440957.2844","-10421344312.611","-9755424627.56947","-11709422883.2239","-169700065488.552","-10181339332.5198","-11367157489.573","-8643977255.59686","-6396761057.63426","-5332749633.98111","-11854879904.3744","-12106359402.3249","-6281439262.61883","-6744469654.09326","-7673482843.57451","-5368322516.65591","-7367369518.30978","-159737795208.527","-5208269056.3608","-12684405697.6376","-11261987840.2233","-9440853080.57716","-1057921233.51672","-11083818190.2338"
