".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",52874.171547249,57937.0728000072,53418.0684348121,53948.701575484,54291.7367534018,52070.255077858,51290.1342856958,55554.1211614209,52547.5139610252,68466.3617706215,58035.1823040967,54328.323113629,55677.0011695154,56895.9483304868,60295.0296631079,58358.2629225636,50189.0739474218,56537.7232703841,61868.3492267567,51328.3717685809,55683.4009358223,58115.9872711986,55916.0912862772,57850.4543744829,49885.0551417841,"58614.5478669212","57494.427209386","62300.100158465","49211.3020267344","49721.8554074681"
"rsq","standard",0.49358452428718,0.451356813691168,0.509975439220083,0.483381800469863,0.455152824713233,0.517243571661912,0.528664084360673,0.481829197387251,0.502946514487561,0.372007544246003,0.434719068853605,0.466274895595337,0.456415068684911,0.424238520146254,0.422140573121688,0.473514414203607,0.494302715391217,0.473124875953036,0.447296690715415,0.51547928571626,0.460200747310555,0.452137761999939,0.495406172165358,0.439724514437148,0.529100739835856,"0.432886820274105","0.487088920387252","0.437648464644125","0.523681772858983","0.522146058595899"
"mae","standard",31412.6050080856,31631.9611675987,31369.2957112095,32436.2958460923,31339.0670453183,32081.5100373459,30956.877541521,31742.9128291053,32679.6673228018,33850.0327372347,32297.5481272551,31986.326315753,31146.1084915788,32751.7867063275,32374.9857235946,32154.9642831237,31097.9517512037,32313.5546114086,33471.2547586229,31281.0109185224,31772.1853630483,31674.341947362,32229.4086329289,30578.9889744583,31840.1198754408,"32593.9443297097","30950.9461191391","32414.8262906194","30925.5277615049","31134.3977878271"
"Bias","Standard",505.863459052913,-1452.78786889934,-925.854561746358,-797.41484525235,245.84537993566,-2095.24556568965,-1752.38904375331,-964.101312916237,-1227.10467798514,-2571.29232836427,-1841.16792387837,-1797.17047901375,-690.277023553316,-211.641222673649,-1195.18978781986,-1304.9108572349,2524.78749477092,-1284.52834604918,-3010.79141073358,-786.087999191531,-836.802732344328,-862.312016215776,-1015.309617587,-708.46902872867,-1382.23131000935,"-497.172736455256","48.9764071424488","-2226.57784585798","985.640942336724","742.994021719588"
"Varianza","Muestral",3047247672.81859,3890285618.5592,3460841961.52509,3313029671.90321,3258765820.37729,3294721062.01754,3168489648.38999,3576660191.24573,3005109519.19039,4960467772.78295,3582850812.99778,3201830146.64365,3409081004.17369,3340552326.19183,4075181305.31232,4090645524.61975,2307942214.13476,3709249891.51308,4638896441.70717,3004325348.58722,3456228224.57809,3784215928.36878,3797036355.64375,3673255613.27614,2866430529.8999,"3577700652.09958","4083484105.35896","4570649540.93447","2725638672.07559","2753804475.1696"
