".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",53287.6560552049,57908.8971842533,53408.2619215646,54076.1712023683,54174.1415205824,52351.5371575335,50985.8813428863,55462.9433161194,52546.9723949643,68096.4447652763,57318.7339580827,54548.1677244229,56115.9435233218,56785.4698786437,60268.9936670518,58713.0157657161,49868.9774746247,56270.9263012165,61893.3698069813,51070.2867441873,55726.8481943638,58512.9341071638,55922.9988537923,57826.7882136125,49919.4857675775,"58546.6864293725","57234.7109124187","62134.2774029535","49276.1692885476","49953.3741505501"
"rsq","standard",0.485286794221336,0.452015515685376,0.509404422148861,0.481011074341757,0.457975255061375,0.510853723589853,0.533799655342956,0.483311694898969,0.503613027431774,0.379366725347098,0.451645542555031,0.46186630461752,0.446723223161955,0.426558420808286,0.422593327308084,0.465885126341531,0.500458831941881,0.479111380833521,0.444414375873483,0.520891440958732,0.45976121202037,0.444835642141265,0.494659916337219,0.440001261611169,0.528985969098335,"0.435373102101214","0.49117627421051","0.440836029349808","0.522702696994069","0.51741030233793"
"mae","standard",31442.7318546765,31652.3319721064,31631.0140775676,32561.6113637004,31395.1833734797,32297.6646702666,30839.783560327,31823.380183243,32684.9600589833,33713.0431191177,32083.404616814,31965.6230639678,31147.4794095633,32784.0497712356,32349.8307516165,32373.0676856253,31106.0994950599,32182.9653777841,33353.4772698648,31315.4668161509,31785.1751547578,31769.0938692489,32424.8646763213,30620.4654871461,31748.3719492422,"32664.1685863159","30947.732573442","32571.6177772313","30887.4297257208","31289.9788547252"
"Bias","Standard",137.229037206109,-1537.93968060922,-677.903387503265,-1092.19823117039,392.807596629547,-2122.17166191232,-1596.82123428857,-759.122700331164,-1323.44865120283,-2790.3623364888,-2294.54602315308,-2014.98581951946,-835.761554390507,-239.141273711921,-1260.10383904447,-1396.0145149567,2506.08679776422,-1352.33735298774,-2976.48339247393,-781.908907844999,-984.633436664373,-1199.31434756718,-1046.74494430581,-699.927096823014,-1596.41598883268,"-826.667814493776","49.6783263596355","-2277.55994885186","704.595699139954","563.710283167471"
"Varianza","Muestral",3057979292.37509,3890530408.24701,3433380914.58325,3324561441.91518,3275539843.88072,3277832099.33258,3122540038.1676,3558948002.93099,3063733215.80365,4959298033.60859,3715078091.65969,3202051248.63165,3348064495.61789,3346910153.41684,4067935664.65128,4082636744.8205,2316167875.46123,3725816659.49456,4565411988.32538,3012559153.88857,3483823205.83779,3834816384.4696,3773985359.33364,3656201803.46634,2893629019.02716,"3713535128.73409","4037989330.74844","4557058386.20122","2758263081.31278","2757366889.74021"
