".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4.x","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",69409.8801506897,53986.1803188682,64445.4070626988,"69409.8801506897","53986.1803188682","64445.4070626988","53076.390550715","46075.4799742586","56598.3949058872","60754.7792544383","54308.6287424218","52202.5365525966","52389.4870011971","56193.1704045327","51685.1372738838","53472.4586558671","50895.6198809293","55388.6571162672","53224.8947524277","55462.6405567824","66163.1708932469","62823.8010379959","57532.6845510344","55270.9304353732","57382.245795909","56214.8799305262","61154.4046637389","59718.0065986954","58114.2591317461","62079.9101866991"
"rsq","standard",0.413994308592707,0.489419580529281,0.446604467934849,"0.413994308592707","0.489419580529281","0.446604467934849","0.490065077622585","0.553294308790684","0.495489000757599","0.440587583605914","0.523682502973444","0.509598700710984","0.526641550657891","0.500658991479646","0.538350104754712","0.482347923759884","0.542791494762176","0.48306900326691","0.502443623392474","0.495551059024655","0.417423350335034","0.42506129859031","0.494526322370922","0.494809522174076","0.476446329664879","0.493708853388809","0.424063417986895","0.417921097819944","0.443959161336753","0.435776976940689"
"mae","standard",32652.3862095135,31527.662496768,31960.7082960935,"32652.3862095135","31527.662496768","31960.7082960935","32020.6810057739","30025.3985691393","31240.7768687803","31562.3921001886","31607.5009199165","31703.7143715259","30428.3826568572","32854.8305246647","31634.2960287111","30856.3686600961","30850.8999318086","31634.71381502","31335.6652717734","32300.7429789213","33150.6947395601","31916.5382691251","30848.9219358537","30967.1319871014","31841.5076944304","31341.7718299676","32263.282353362","31937.3862858138","32122.6416928881","32393.9438252011"
"Bias","Standard",-3875.40719731861,-1967.11310219429,-4787.16568965777,"-3875.40719731861","-1967.11310219429","-4787.16568965777","-1617.09754233599","-206.553997661311","-2188.05746116186","-2167.02915660348","-3129.0495911826","-1389.80173792963","-2686.05398758075","-2161.64672963595","-1880.8575022447","-242.92171730907","-2014.40361857702","-1627.79232414403","-1814.44089916428","-720.303816696047","-2808.66786778568","-1683.78944344611","-1776.08042615127","-1501.49675282942","-2104.49035932114","-1829.09947150591","-3155.05938253815","-1954.35877034011","-1957.32541597927","-1538.99221265382"
"Varianza","Muestral",-5881315774.81877,-3558704003.44695,-5211561494.07312,"-5881315774.81877","-3558704003.44695","-5211561494.07312","-3204075437.81342","-2618410023.96146","-4088766596.32554","-4413965798.68859","-3921464670.84839","-3387217256.66961","-3607112899.99455","-3986060548.34541","-3525816389.71928","-3450502249.05073","-3416413229.80023","-3660983979.44953","-3447106055.52458","-3894008907.83371","-5206074896.44569","-4736477751.67315","-4261213123.18983","-3869251034.0722","-4030317294.73873","-3927988747.19428","-4112931637.55044","-4034686274.97609","-3914643768.50162","-4595899197.98554"
