".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8"
"rmse","standard","103766.018071133","113095.539402135","92642.7224752969","112457.3657143","89584.1543415718","80942.734471638","79865.2111095341","103184.459729639"
"rsq","standard","0.304713505051123","0.16423702069997","0.452595596553069","0.180603036713416","0.36582157942835","0.27438238125283","0.269333172546409","0.174921471030557"
"mae","standard","66663.0296965856","75362.9446599584","64932.2010897066","74119.8873708054","65379.2448217538","57963.22300489","55876.6243674495","68535.9657065643"
"Bias","Standard","4365.49450136269","-5141.6612807842","-13743.184345042","-7046.16228164223","6018.13456860183","-7291.51600184792","94.6837021715613","1845.27345832449"
"Varianza","Muestral","-10609954772.9276","-10386792267.2633","-10057525416.5993","-10701744299.4811","-3943118113.60277","-5825183525.52053","-5796037902.59138","-6155020319.01694"
