".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",124210.777689308,108614.659742445,124767.671713342,359254.827422805,117392.640898478,135880.187694553,109123.186744988,110135.445763596,95339.4641905093,112456.245305081,78646.0677918215,105850.71819816,98528.2031729876,90464.7381485264,109310.60809918,412530.512251843,402143.074370542,105224.070451955,385787.366069604,103745.601100693,103279.941213169,95653.1889237112,201491.111518178,117958.489284345,100275.276250907,"107439.337971992","87278.6517621997","392306.259775137","91320.7749488254","402000.53973356"
"rsq","standard",0.0283524008023731,0.176656098205902,0.137907351748305,0.0800436862326058,0.128407004244046,0.141935724326884,0.139158537711506,0.0910138340314946,0.165780058561752,0.196079629863265,0.284301317040383,0.129525754515369,0.254155308109007,0.362000079734604,0.212443338474482,0.0596713189229096,0.101794377322743,0.23619913155388,0.0470593657636042,0.136859161049059,0.127379838164475,0.314512624993907,0.0425486136397036,0.174380144702633,0.262395978035769,"0.0918413752347827","0.453544739281714","0.110123292990422","0.282007570769708","0.0937819191030902"
"mae","standard",76245.5515503876,67026.409775641,79591.502742616,85711.0001436782,72568.5685636856,77874.1432098766,77372.969579288,71827.8340740741,70522.1633956386,74127.0185964912,59855.5141176471,70389.091025641,72040.9727011494,65205.3895604396,73620.3197115385,100697.422988506,109106.968971631,70599.2176282051,106159.788562092,73283.7929166667,67495.6833333333,60727.785125448,93044.4546474359,67987.5257936508,71664.9881877023,"75137.4067073171","63395.1336691087","108481.709090909","67052.2181318681","114128.231403509"
"Bias","Standard",-5479.346124031,18184.2979166667,42371.4537974684,-27114.3369252874,13816.6154471545,37445.787654321,22599.186407767,9333.41148148148,22152.0777258567,6346.73894736843,15372.0647058824,2182.94230769231,3977.47959770116,14881.0664835165,23687.2796474359,-37826.4283524904,-47103.5143617021,-11489.8967948718,-22756.1215686274,-603.462083333332,9310.44259259259,4322.11379928315,37820.3591346154,27532.0912698413,8199.54805825243,"19344.1254065041","9577.75375457875","-60670.6804713805","11829.6294871795","-51264.2549122807"
"Varianza","Muestral",7404489665.90918,4624141419.24299,-2747216267.20824,134953446084.208,4514095485.02585,-6772025660.74616,1574002613.86472,6593729337.60219,3055912298.27434,4488598456.35953,5615118485.96714,6569707498.89892,7301032034.55109,7970898432.55329,-442148532.51326,175785601906.498,169530012459.515,11234573359.8368,153048765075.054,8774309109.01077,5577356196.87337,7667947238.17273,-21771661627.0752,-4754746792.49005,7218594543.15513,"6351049628.58572","8051096947.46382","160076594431.563","5814376880.85632","168250309630.521"
