".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",116178.212442401,98197.5429472,96090.8705008933,360068.641938186,96947.5570407199,102727.384649512,94574.1230049806,99711.9679639512,91312.2311834047,94604.9900362469,79123.2188086923,116258.268962183,96902.0621746363,100866.954397155,117877.639123776,412585.229728525,405647.349768018,103084.802007965,386211.195970669,109519.142982477,117143.075096563,105298.278559865,158974.742856437,100526.775571477,100201.172806991,"101990.083039721","103629.348996281","396350.256275898","116431.021069036","404095.460429469"
"rsq","standard",0.0817385978775221,0.268559887325672,0.234147271296119,0.0872614719567646,0.275664461180177,0.212590016467616,0.219057797931523,0.178142842399792,0.214347956201962,0.339901312674253,0.278672348828372,0.116104941839362,0.285168885454092,0.271900325822177,0.115003913211495,0.0645038061848375,0.0750771256353206,0.287220092203669,0.048311779138517,0.116926628858099,0.150016483302905,0.228521348597544,0.0551529111491611,0.166697569556077,0.266304404715174,"0.181096906672","0.230720336788906","0.0703296510810889","0.0928941916334023","0.0789071799724399"
"mae","standard",74575.6404116279,63106.6303397436,65435.1464067511,82683.675291954,66662.6514718157,68505.076545679,69776.080741424,67461.392297037,68464.8802015576,67438.6843859649,59592.9105734454,74245.4228083333,68743.9770068966,67748.7373868132,74379.541551282,96169.6514735632,105355.747248227,66669.9142298077,102015.935123529,76822.7288333333,73588.1326632275,66472.1644458781,81845.4535929487,57998.1243095238,68438.801068932,"72905.1596926829","72534.118025641","108570.276770034","67746.4897040293","108770.841328421"
"Bias","Standard",-11112.7472426357,15952.2019141026,23592.1795139241,-35436.6747655172,4285.57388319784,20597.2575740741,15990.15072589,4649.15891185185,17497.981746729,-1346.15717473684,10395.3404853782,5753.80760064102,2714.66726896552,16796.2760241758,16295.3328525641,-39971.5513463602,-55029.4346241135,-18673.3156689103,-30641.0007065359,270.18521666666,19713.2292256614,7487.58095340502,16142.7512211538,11465.4771126984,3296.49186504854,"14160.8721642276","1780.56395384616","-64902.2597754209","4382.06084835165","-56986.0508821053"
"Varianza","Muestral",7522792556.36688,5353897523.54102,2484405359.48861,135487499708.274,7452959294.25773,1414071735.46926,3796880586.971,7425817356.68302,2567241923.83543,7207264127.63548,4605057036.1466,2949638705.50291,6432537966.90507,5029691394.22061,59552441.8226147,176326219904.563,169632918149.577,11325570653.1248,153115358740.057,6732941231.02494,-345969502.234205,6099190992.72186,-6117300614.85555,692395862.851202,6775770398.95406,"4431598389.3667","9159586883.09211","160112390050.151","2686184235.34649","168293216791.152"
