".metric",".estimator",".estimate","prueba_2","prueba_3","prueba_4.x","prueba_5","prueba_6","prueba_7","prueba_8","prueba_9","prueba_10","prueba_11","prueba_12","prueba_13","prueba_14","prueba_15","prueba_16","prueba_17","prueba_18","prueba_19","prueba_20","prueba_21","prueba_22","prueba_23","prueba_24","prueba_25","prueba_26","prueba_27","prueba_28","prueba_29","prueba_30"
"rmse","standard",69445.7178693318,53852.1802525698,64429.4270289715,"69445.7178693318","53852.1802525698","64429.4270289715","53125.9418389636","46188.5283180167","56601.1612408502","61095.4003095859","54693.985713228","52174.9491995587","52170.2620702487","55965.0320706943","51331.7635633488","53580.5667074863","50944.6616710429","55172.4921060039","53459.2747905769","55496.7443309381","66385.3505230386","62510.6639592865","57566.3646836502","55296.9387205625","57294.9907737952","56394.4949246275","60813.3463155506","59732.0312479402","58044.684824976","61865.4765198426"
"rsq","standard",0.413449246883696,0.492621092354608,0.446736877950812,"0.413449246883696","0.492621092354608","0.446736877950812","0.488371947167816","0.552245749882423","0.494574785272863","0.432381936842055","0.516028010524478","0.510630225493163","0.531042407808917","0.504804864260007","0.546090047129517","0.479353179984172","0.540830236045832","0.487774549127119","0.496695781074164","0.493934551778758","0.412181789577608","0.432905692492655","0.494884617637301","0.494334239293451","0.477838766595754","0.490065119198823","0.431046059558434","0.417812320209418","0.445579653885652","0.438966664892885"
"mae","standard",32591.8873970162,31359.6125989703,32008.1341548175,"32591.8873970162","31359.6125989703","32008.1341548175","32041.5078535966","30018.671940365","31132.2355629902","31727.1026780987","31745.2837435547","31828.0354765488","30411.8189998437","32718.1726920433","31446.3021458197","30823.4703394924","30708.9757309091","31496.7918813242","31455.6360291467","32376.3434957488","33115.8158385987","31761.6063561678","30716.8859589094","31020.4165986394","31809.2455765388","31273.3071988243","32154.3864637525","31885.7509322142","32035.8977443302","32352.448662544"
"Bias","Standard",-3985.89696694304,-2230.25853056371,-4832.11136464627,"-3985.89696694304","-2230.25853056371","-4832.11136464627","-1434.44515237336","-528.81207545095","-1949.57602678625","-1971.52646218442","-3304.4361051079","-1429.68355829832","-2693.05666669968","-2038.12409446534","-1904.97620907249","-371.432842418603","-1976.76060841323","-1632.19628607561","-1687.66094214617","-664.870377701668","-2896.92484134469","-1801.67642729165","-1957.23737528289","-1639.09958410215","-1971.48481958577","-1830.83857668947","-3072.7068226145","-2004.6567272081","-2126.06380596003","-1574.24004435174"
"Varianza","Muestral",-5883874103.88355,-3558091538.99963,-5205114082.85526,"-5883874103.88355","-3558091538.99963","-5205114082.85526","-3169242448.94552","-2664927193.25653","-4073045795.74527","-4394888208.90716","-3939697266.73055","-3398480167.56835","-3594260916.66036","-3966977938.62241","-3522010235.46191","-3431360343.62099","-3397024800.77307","-3662949834.26169","-3426296496.04228","-3872747121.76411","-5186972272.4854","-4755934074.22965","-4282744313.11678","-3869842049.71416","-4017859793.48957","-3935469772.11183","-4117157487.28801","-4042295621.57065","-3913419094.91023","-4546652296.15099"
