"V1","V2"
0.374323783777982,0.421904452437047
0.37501107831622,0.429692093767244
0.374056265569379,0.422840317588907
0.376957221696102,0.424328683116528
0.37454046515677,0.424603901243245
0.379332794192123,0.439415267988807
0.379454845086002,0.431145536889744
0.380776097999842,0.432100201249341
0.378080529462295,0.430391520198555
0.381508946182748,0.431629976924341
0.381730132500707,0.435331370331824
0.378102615536591,0.429978084593586
0.377978625786,0.427300446367553
0.379826999133911,0.433061144921794
0.380318038537098,0.436886781161775
0.377965075586417,0.425668014508119
0.378974356967319,0.428677761211475
0.379380382325508,0.43059309497994
0.381828189102634,0.438424025507629
0.379384066980947,0.431233431582768
0.379958561450621,0.435190603525825
0.383211419103645,0.430849360353477
0.380427944739495,0.434376519241141
0.379522139763594,0.423976234438214
0.378335399664138,0.435396995811516
0.373700522266972,0.416285094699106
0.37705337655234,0.425888307553578
0.380253450265172,0.430154253308046
0.380684496014965,0.437471790580275
0.379517021410265,0.429959658350526
