"CODUSU","NRO_HOGAR","COMPONENTE","imp"
"TQRMNOTPSHJNSOCDEIJAH00794201",1,3,2
"TQSMNOQVWHKOKRCDEGKDB00789329",1,1,0
"TQRMNORUXHKNKOCDEGKDB00789279",1,2,1
"TQRMNORUXHKNKOCDEGKDB00789279",1,3,0
"TQRMNORTXHKNKNCDEFMDB00787984",2,1,1
"TQRMNORXQHKOKOCDEFMDB00787953",1,1,0
"TQRMNOSRXHLOSNCDEIJAH00719399",1,1,0
"TQRMNOSRXHLOSNCDEIJAH00719399",1,2,1
"TQRMNOSRQHMOLOCDEFOCD00711723",1,2,0
"TQRMNORSVHJOLPCDEFOCD00794202",1,1,0
"TQRMNORSVHJOLPCDEFOCD00794202",1,2,0
"TQRMNOSTXHLKQSCDEIJAH00719629",2,4,0
"TQRMNOQXTHLOKMCDEFIAH00714488",1,1,0
"TQRMNOQXTHLOKMCDEFIAH00714488",1,3,0
"TQRMNOQWVHJMKQCDEFIAH00794208",1,1,1
"TQRMNOQWVHJMKQCDEFIAH00794208",1,2,1
"TQRMNORXQHKOKOCDEFMDB00787953",1,2,0
"TQSMNOSQUHKOKMCDEGKDB00789196",1,1,0
"TQSMNOSQUHKOKMCDEGKDB00789196",1,6,0
"TQRMNOSRRHKOKMCDEGKDB00789217",1,2,1
"TQRMNOSSRHKOKOCDEFOCD00788337",1,1,2
"TQRMNOPQYHLMKSCDEGLDF00794203",1,2,0
"TQRMNORVRHKKKNCDEOHCH00792899",2,1,0
"TQRMNOPRYHMMKNCDEOHCH00712751",1,1,1
"TQRMNOPRVHMMKOCDEOHCH00712752",1,1,1
"TQRMNORYYHJMKNCDEOHCH00794204",1,1,1
"TQRMNORYYHJMKNCDEOHCH00794204",1,2,0
"TQRMNOTVXHMOKQCDEOHCH00713420",1,2,0
"TQRMNOXQRHKOKMCDEFOCD00788346",1,3,1
"TQRMNOXQRHKOKMCDEFOCD00788346",1,4,0
"TQRMNOPPXHKOKMCDEFPCH00788449",1,2,0
"TQRMNOPPXHKOKMCDEFPCH00788449",1,3,1
"TQRMNOPRTHLNKMCDEGKDB00716292",1,2,0
"TQRMNOQQVHJOKOCDEGKDB00794211",1,1,0
"TQSMNOSVTHLLKOCDEGLDF00716411",1,1,0
"TQRMNOQXQHJMKOCDEOHCH00794205",1,1,0
"TQRMNOQXQHJMKOCDEOHCH00794205",1,2,0
"TQRMNOPPXHMNKSCDEOHCH00713421",1,1,1
"TQRMNOPPXHMNKSCDEOHCH00713421",1,2,1
"TQRMNOPSSHKNKQCDEOHCH00792873",1,2,0
"TQRMNOPSSHKNKQCDEOHCH00792873",1,3,0
"TQRMNOQWPHKNKQCDEOHCH00792947",1,1,0
"TQRMNOQWPHKNKQCDEOHCH00792947",1,2,0
"TQRMNORSUHKKKNCDEFPCH00788451",1,1,0
"TQRMNORSUHKKKNCDEFPCH00788451",1,2,0
"TQRMNOSYTHKMKQCDEGKDB00789167",1,1,0
"TQRMNOPPRHMMKPCDEGKDB00712781",1,2,0
"TQSMNOQWYHMMKTCDEGLDF00712465",1,1,0
"TQRMNORYYHKNKQCDEGLDF00789490",1,2,0
"TQRMNPQTTHKMKMCDEHLEH00790370",1,1,0
"TQRMNORPYHKMKNCDEHLEH00790393",1,3,2
"TQRMNOSWPHKKKMCDEGGFB00788700",1,1,0
"TQRMNOSWPHKKKMCDEGGFB00788700",1,2,1
"TQRMNOQUUHMKKMCDEGGFB00713246",1,1,0
"TQRMNOSPUHJKNOCDEIIAD00794206",1,1,2
"TQRMNOSPUHJKNOCDEIIAD00794206",1,2,1
"TQRMNOSVRHLLNUCDEIIAD00718409",1,1,0
"TQRMNOQXPHKKTUCDEIJAH00792370",1,1,1
"TQRMNOSTXHLKQSCDEIJAH00719629",2,1,0
"TQRMNOPTRHMMLMCDEOJAH00794092",1,2,0
"TQRMNORYRHKMLLCDEOJAH00793101",1,1,1
"TQRMNORYRHKMLLCDEOJAH00793101",1,2,0
"TQRMNOQPQHKNLMCDEOJAH00793074",1,1,0
"TQRMNOQPQHKNLMCDEOJAH00793074",1,2,1
"TQRMNORVTHLMLLCDEOJAH00720343",1,1,0
"TQRMNOPUPHKOLNCDEOJAH00793001",1,1,0
"TQRMNOPUPHKOLNCDEOJAH00793001",1,3,0
"TQRMNOQYQHKOLNCDEOJAH00794093",1,1,0
"TQRMNOQYQHKOLNCDEOJAH00794093",1,2,0
"TQRMNOQYQHKOLNCDEOJAH00794093",1,3,0
"TQSMNOQVPHMMMTCDEIJAH00791558",1,2,1
"TQRMNOPTVHMMMUCDEIJAH00792123",1,1,1
"TQRMNOPTVHMMMUCDEIJAH00792123",1,4,0
"TQRMNORPSHMMMUCDEIJAH00713200",1,5,0
"TQRMNORPSHMMMUCDEIJAH00713200",1,6,1
"TQRMNOPTTHMMNLCDEIJAH00718939",1,1,0
"TQRMNOTTQHKMLNCDEGNFJ00789524",1,1,0
"TQRMNOPQRHKLKMCDEOHCH00792887",1,3,0
"TQRMNOPXTHMOLLCDEGNFJ00789581",1,1,0
"TQRMNOQRQHLLKRCDEHNHB00779262",1,1,0
"TQRMNOQRQHLLKRCDEHNHB00779262",1,2,0
"TQRMNOQYRHJNMOCDEFKID00794153",1,1,1
"TQRMNOTTVHLOKMCDEIHJF00718193",1,1,1
"TQRMNOTTVHLOKMCDEIHJF00718193",1,2,0
"TQRMNOTTVHLOKMCDEIHJF00718193",1,3,0
"TQRMNORVXHJOKMCDEIHJF00794154",1,1,1
"TQRMNOPYQHLOKTCDEHNHB00717586",1,2,0
"TQRMNOQYRHKOLNCDEOJAH00794094",1,1,0
"TQRMNORSRHJMKNCDEFLID00794095",1,1,0
"TQRMNORSRHJMKNCDEFLID00794095",1,2,1
"TQRMNOSUTHMMQLCDEIJAH00718767",1,1,0
"TQSMNOPURHMOQRCDEIJAH00792293",1,2,0
"TQRMNOPURHMOQRCDEIJAH00792354",1,1,0
"TQRMNOPURHMOQRCDEIJAH00792354",1,2,1
"TQRMNOPVSHLOQPCDEIJAH00780558",1,1,0
"TQRMNOQRSHMKNNCDEIJAH00713150",1,1,0
"TQRMNOQRSHMKNNCDEIJAH00713150",1,2,0
"TQSMNOQQVHLMNQCDEIJAH00794115",1,1,1
"TQRMNOTTUHLMNTCDEIJAH00780529",1,2,1
"TQRMNOQPSHLOKTCDEFLID00714979",1,1,0
"TQRMNOPPTHJOKRCDEFLID00794135",1,2,0
"TQRMNOPPTHJOKRCDEFLID00794135",1,3,1
"TQRMNOPPTHJOKRCDEFLID00794135",1,4,1
"TQRMNOQTQHJOKRCDEFLID00794136",1,1,1
"TQRMNOQTQHJOKRCDEFLID00794136",1,2,0
"TQRMNOSQYHJMKTCDEHNHB00794155",1,1,0
"TQRMNOSQYHJMKTCDEHNHB00794155",1,2,0
"TQRMNOSQYHJMKTCDEHNHB00794155",1,3,0
"TQRMNORSSHJMMNCDEFKID00794158",1,1,1
"TQRMNOQQSHJNMOCDEFKID00794159",1,1,0
"TQRMNOTTPHJMQTCDEIJAH00794096",1,2,0
"TQRMNOTTPHJMQTCDEIJAH00794096",1,3,1
"TQRMNOPXQHLOQRCDEIJAH00718794",1,1,1
"TQRMNOPXQHLOQRCDEIJAH00718794",1,2,1
"TQRMNOPTPHMMQTCDEIJAH00709188",1,8,0
"TQRMNOSVQHKOLQCDEIKAH00794116",1,1,0
"TQRMNOSVQHKOLQCDEIKAH00794116",1,2,0
"TQRMNOQVTHJMLPCDEIKAH00794117",1,2,1
"TQRMNORVSHMLKRCDEFLID00714981",1,2,0
"TQRMNOPQPHJLLLCDEFLID00794137",1,1,1
"TQRMNOPQPHJLLLCDEFLID00794137",1,2,0
"TQRMNOTRUHJLLLCDEFLID00794138",1,1,0
"TQRMNORSXHKOLPCDEHIBB00790061",1,1,0
"TQRMNORSXHKOLPCDEHIBB00790061",1,2,0
"TQRMNOTRSHJNMOCDEFKID00794160",1,1,0
"TQRMNOTRSHJNMOCDEFKID00794160",1,3,0
"TQRMNOPWRHJMMPCDEFKID00794161",1,1,1
"TQRMNOPPXHLMKUCDEIHJF00779696",1,1,0
